facility_id,facility_name,industry,latitude,longitude,total_release_kg,n_chemicals,toxicity_weighted_exposure,proximity_multiplier,max_chemical_toxicity,carcinogen_count,heavy_metal_kg,chemical_details,log_release,log_toxicity_exposure,log_chems,log_heavy_metals,industry_norm_release,base_risk,risk_score,anomaly,anomaly_confidence
19,Excelsior Steel Processing Ltd,Cold-Rolled Steel Shape Mfg.,43.6016,-79.5339,0.0,0,0.0,1.0,30.0,0,0.0,"[{""name"": NaN, ""amount_kg"": 0.0, ""toxicity_score"": 30.0}]",0.0,0.0,0.0,0.0,-0.4040666677821587,-0.5395096058464582,18.43,False,0.0
23,New Era Tool Die Ltd,Machine Shops,43.7613,-79.5614,0.0,0,0.0,1.0021980601625589,30.0,0,0.0,"[{""name"": NaN, ""amount_kg"": 0.0, ""toxicity_score"": 30.0}]",0.0,0.0,0.0,0.0,-0.3258205007529425,-0.5395096058464582,18.4,False,25.0
28,Drape Master,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),43.7192,-79.2495,0.0,0,0.0,1.0,30.0,0,0.0,"[{""name"": NaN, ""amount_kg"": 0.0, ""toxicity_score"": 30.0}]",0.0,0.0,0.0,0.0,-0.8452974692787806,-0.5395096058464582,18.43,False,0.0
42,Viasystems Toronto Inc A Member Company Of TTM Technologies Group,Semiconductor & Electronic Component Mfg.,43.8027,-79.1969,10609.0,7,2519.1119999999996,1.167233946564053,95.0,2,0.0,"[{""name"": ""Nitrogen Oxides (NOx)"", ""amount_kg"": 505.0, ""toxicity_score"": 68.0}, {""name"": ""Nickel and its compounds"", ""amount_kg"": 0.0, ""toxicity_score"": 75.0}, {""name"": ""Particulate Matter 2.5 (PM2.5)"", ""amount_kg"": 611.0, ""toxicity_score"": 70.0}, {""name"": ""Manganese and its compounds"", ""amount_kg"": 0.0, ""toxicity_score"": 52.0}, {""name"": ""Lead and its compounds"", ""amount_kg"": 0.0, ""toxicity_score"": 95.0}, {""name"": ""Volatile Organic Compounds (VOCs) Total"", ""amount_kg"": 9432.0, ""toxicity_score"": 58.0}, {""name"": ""Formaldehyde"", ""amount_kg"": 61.0, ""toxicity_score"": 92.0}]",9.26955223160803,7.832058623962288,2.0794415416798357,0.0,1.259610706348432,0.6245694882321756,59.87,True,50.0
48,Phoenix Geophysics Ltd,All Other Miscellaneous Mfg.,43.8089,-79.3384,0.0,0,0.0,1.0,30.0,0,0.0,"[{""name"": NaN, ""amount_kg"": 0.0, ""toxicity_score"": 30.0}]",0.0,0.0,0.0,0.0,-0.3535533903909119,-0.5395096058464582,18.43,False,25.0
50,Stayana International Trading,Material Recovery Facilities,43.7705,-79.4799,0.0,0,0.0,1.211352945530702,30.0,0,0.0,"[{""name"": NaN, ""amount_kg"": 0.0, ""toxicity_score"": 30.0}]",0.0,0.0,0.0,0.0,-0.4082482902567513,-0.5395096058464582,15.01,False,0.0
57,Material Sciences Corporation Continuous Colour Coat Ltd,"Coating, Engraving & Heat Treating Activities",43.7169,-79.5826,16819.0,7,4343.136,1.0,95.0,1,17.0,"[{""name"": ""Nickel and its compounds"", ""amount_kg"": 0.0, ""toxicity_score"": 75.0}, {""name"": ""Particulate Matter 2.5 (PM2.5)"", ""amount_kg"": 187.0, ""toxicity_score"": 70.0}, {""name"": ""Chromium, Hexavalent and its compounds"", ""amount_kg"": 17.0, ""toxicity_score"": 52.0}, {""name"": ""Chromium, Non-Hexavalent and its compounds"", ""amount_kg"": 0.0, ""toxicity_score"": 52.0}, {""name"": ""Lead and its compounds"", ""amount_kg"": 0.0, ""toxicity_score"": 95.0}, {""name"": ""Volatile Organic Compounds (VOCs) Total"", ""amount_kg"": 5801.0, ""toxicity_score"": 58.0}, {""name"": ""Nitrogen Oxides (NOx)"", ""amount_kg"": 10814.0, ""toxicity_score"": 68.0}]",9.73032393352694,8.376582168674345,2.0794415416798357,2.8903717578961645,1.0727826925271946,1.1101979695461155,68.04,True,50.0
58,TecniGlas A Division Of ProScience Inc,"Paint, Glass & Wallpaper Whl.",43.7359,-79.3246,0.0,0,0.0,1.0,30.0,0,0.0,"[{""name"": NaN, ""amount_kg"": 0.0, ""toxicity_score"": 30.0}]",0.0,0.0,0.0,0.0,,-0.5395096058464582,18.43,False,0.0
90,Cosmetica Laboratories Inc,Toilet Preparation Mfg.,43.7281,-79.2867,1439.0,1,333.84799999999996,1.0,58.0,0,0.0,"[{""name"": ""Volatile Organic Compounds (VOCs) Total"", ""amount_kg"": 1439.0, ""toxicity_score"": 58.0}]",7.272398392570047,5.81367669751457,0.6931471805599453,0.0,-1.215355892460833,0.2366892437334468,41.78,False,0.0
98,Ward Funeral Home,Funeral Homes,43.7015,-79.5212,0.0,0,0.0,1.0,30.0,0,0.0,"[{""name"": NaN, ""amount_kg"": 0.0, ""toxicity_score"": 30.0}]",0.0,0.0,0.0,0.0,-0.3015113441607313,-0.5395096058464582,18.43,False,0.0
114,Polytarp Products,Plastic Film and Sheet Manufacturing,43.7766,-79.4914,0.0,1,0.0,1.0785047587980965,58.0,0,0.0,"[{""name"": ""Volatile Organic Compounds (VOCs) Total"", ""amount_kg"": 0.0, ""toxicity_score"": 58.0}]",0.0,0.0,0.6931471805599453,0.0,-0.707106781050007,-0.3995096058464582,21.7,False,0.0
120,Black Creek Dry Cleaners,Dry Cleaning & Laundry Serv. (exc. Coin-Op.),43.7054,-79.492,53.0,1,17.384,1.0668026922839144,82.0,1,0.0,"[{""name"": ""Tetrachloroethylene (Perchloroethylene)"", ""amount_kg"": 53.0, ""toxicity_score"": 82.0}]",3.9889840465642745,2.9114807211064,0.6931471805599453,0.0,0.5871765447487476,0.0509302914163958,36.29,False,0.0
135,Ridley Funeral Home,Funeral Homes,43.5992,-79.5125,0.0,0,0.0,1.0,30.0,0,0.0,"[{""name"": NaN, ""amount_kg"": 0.0, ""toxicity_score"": 30.0}]",0.0,0.0,0.0,0.0,-0.3015113441607313,-0.5395096058464582,18.43,False,0.0
145,Bernardo Funeral Home,Funeral Homes,43.735,-79.5606,0.0,0,0.0,1.0,30.0,0,0.0,"[{""name"": NaN, ""amount_kg"": 0.0, ""toxicity_score"": 30.0}]",0.0,0.0,0.0,0.0,-0.3015113441607313,-0.5395096058464582,18.43,False,25.0
163,AEP Canada Inc,Plastic Film and Sheet Manufacturing,43.7657,-79.1622,1515.0,2,419.368,1.1297348093140274,70.0,0,0.0,"[{""name"": ""Particulate Matter 2.5 (PM2.5)"", ""amount_kg"": 911.0, ""toxicity_score"": 70.0}, {""name"": ""Nitrogen Oxides (NOx)"", ""amount_kg"": 604.0, ""toxicity_score"": 68.0}]",7.323830566202317,6.041130518122802,1.0986122886681098,0.0,0.707106781050007,0.3136310354883709,45.31,False,0.0
170,Cascades Containerboard Packaging  Lithotech,Other Printing,43.8169,-79.2246,7380.0,1,1712.16,1.015147664562312,58.0,0,0.0,"[{""name"": ""Volatile Organic Compounds (VOCs) Total"", ""amount_kg"": 7380.0, ""toxicity_score"": 58.0}]",8.906664409770052,7.446094897348168,0.6931471805599453,0.0,1.4256741692006738,0.4014223433447493,46.91,False,0.0
172,Mondelez Canada Inc East York Bakery,Cookie & Cracker Mfg.,43.7132,-79.3092,10304.0,3,2754.544000000001,1.0,70.0,0,0.0,"[{""name"": ""Particulate Matter 2.5 (PM2.5)"", ""amount_kg"": 212.0, ""toxicity_score"": 70.0}, {""name"": ""Nitrogen Oxides (NOx)"", ""amount_kg"": 8846.0, ""toxicity_score"": 68.0}, {""name"": ""Volatile Organic Compounds (VOCs) Total"", ""amount_kg"": 1246.0, ""toxicity_score"": 58.0}]",9.24038449332456,7.921370161259675,1.3862943611198906,0.0,0.7071067806119692,0.5045384655641199,49.83,False,0.0
177,The Incredible Printing Company,Other Printing,43.7561,-79.4853,376.0,2,87.232,1.1749294558525556,58.0,0,0.0,"[{""name"": ""Volatile Organic Compounds (VOCs) Total"", ""amount_kg"": 376.0, ""toxicity_score"": 58.0}, {""name"": ""Manganese and its compounds"", ""amount_kg"": 0.0, ""toxicity_score"": 52.0}]",5.932245187448011,4.4799697090038455,1.0986122886681098,0.0,0.6476388614133063,0.1019318071225427,38.26,False,0.0
178,Nestle Foods Group Sterling Road Nestle Canada Inc,Confectionery Mfg. from Purchased Chocolate,43.6526,-79.4441,5355.0,3,1435.848,1.0621336048309995,70.0,0,0.0,"[{""name"": ""Particulate Matter 2.5 (PM2.5)"", ""amount_kg"": 536.0, ""toxicity_score"": 70.0}, {""name"": ""Volatile Organic Compounds (VOCs) Total"", ""amount_kg"": 625.0, ""toxicity_score"": 58.0}, {""name"": ""Nitrogen Oxides (NOx)"", ""amount_kg"": 4194.0, ""toxicity_score"": 68.0}]",8.585972706811063,7.270207104562298,1.3862943611198906,0.0,-0.7071067717835948,0.4387416454585706,48.67,False,0.0
180,Battenfeld Grease Canada Ltd,Other Petroleum & Coal Products Mfg.,43.6296,-79.524,0.0,3,0.0,1.0,70.0,0,0.0,"[{""name"": ""Nitrogen Oxides (NOx)"", ""amount_kg"": 0.0, ""toxicity_score"": 68.0}, {""name"": ""Particulate Matter 2.5 (PM2.5)"", ""amount_kg"": 0.0, ""toxicity_score"": 70.0}, {""name"": ""Volatile Organic Compounds (VOCs) Total"", ""amount_kg"": 0.0, ""toxicity_score"": 58.0}]",0.0,0.0,1.3862943611198906,0.0,-1.3866576327747937,-0.3395096058464582,24.45,False,25.0
187,Mylan Pharmaceuticals ULC,Pharmaceutical & Medicine Mfg.,43.6353,-79.5219,0.0,0,0.0,1.0,30.0,0,0.0,"[{""name"": NaN, ""amount_kg"": 0.0, ""toxicity_score"": 30.0}]",0.0,0.0,0.0,0.0,-1.85635543398587,-0.5395096058464582,18.43,False,25.0
192,Blanco Canada Incorporated,Plastic Plumbing Fixture Mfg.,43.6277,-79.5227,20001.0,4,4676.32,1.0,70.0,0,0.0,"[{""name"": ""Particulate Matter 2.5 (PM2.5)"", ""amount_kg"": 91.0, ""toxicity_score"": 70.0}, {""name"": ""Chromium, Non-Hexavalent and its compounds"", ""amount_kg"": 0.0, ""toxicity_score"": 52.0}, {""name"": ""Nitrogen Oxides (NOx)"", ""amount_kg"": 793.0, ""toxicity_score"": 68.0}, {""name"": ""Volatile Organic Compounds (VOCs) Total"", ""amount_kg"": 19117.0, ""toxicity_score"": 58.0}]",9.90358754753646,8.450480575312653,1.6094379124341005,0.0,,0.5624852036678352,51.57,False,0.0
